408567;Deadly Pickup;Dean McKendrick;2016. 07. 26;5,447;en
353069;Mother's Day;Garry Marshall;2016. 04. 28;6;en
302688;My Big Fat Greek Wedding 2;Kirk Jones;2016. 03. 23;6;en
308529;Kickboxer: Vengeance;John Stockwell;2016. 07. 14;5;en
330483;The Choice;Ross Katz;2016. 02. 04;7,204;en
378018;The Void;Jeremy Gillespie, Steven Kostanski;2016. 09. 22;5,991;en
408381;Monolith;Ivan Silvestrini;2016. 05. 12;5,347;en
354216;The Devil's Candy;Sean Byrne;2016. 12. 15;6,275;en
347031;Swiss Army Man;Daniel Kwan, Daniel Scheinert;2016. 06. 24;6,928;en
325789;The Infiltrator;Brad Furman;2016. 07. 13;6,675;en
336445;Army of One;Larry Charles;2016. 11. 04;5,208;en
364116;The Other Side of the Door;Johannes Roberts;2016. 02. 25;5,549;en
370755;Paterson;Jim Jarmusch;2016. 11. 17;7,113;en
359483;Adidas Vs. Puma: The Brother's Feud;Oliver Dommenget;2016. 03. 25;7;de
259695;Live by Night;Ben Affleck;2016. 12. 25;6,249;en
399106;Piper;Alan Barillaro;2016. 06. 16;8,148;en
382322;Batman: The Killing Joke;Sam Liu;2016. 07. 24;6,594;en
410126;Patient Seven;Danny Draven, Paul Davis, Ómar Örn Hauksson, Dean Hewison, Joel Morgan, Johannes Persson, Nicholas Peterson, Erlingur Thoroddsen, Rasmus Wassberg;2016. 10. 11;5,162;en
326285;American Pastoral;Ewan McGregor;2016. 10. 20;6,171;en
333385;Mr. Right;Paco Cabezas;2016. 02. 29;6,468;en
337556;Emerald Green;Katharina Schöde, Felix Fuchssteiner;2016. 07. 07;7;de
270007;Take Down;Jim Gillespie;2016. 05. 05;5,835;en
312669;Maggie's Plan;Rebecca Miller;2016. 04. 27;5,697;en
352498;First Girl I Loved;Kerem Sanga;2016. 10. 18;6,304;en
315664;Florence Foster Jenkins;Stephen Frears;2016. 05. 06;6,667;en
419639;The Thinning;Michael J. Gallagher;2016. 10. 12;6,701;en
411736;Batman: Return of the Caped Crusaders;Rick Morales;2016. 10. 08;6,446;en
376866;Jackie;Pablo Larraín;2016. 12. 02;6,456;en
415749;Barbie: Star Light Adventure;Andrew Tan, Michael Goguen;2016. 08. 12;7;en
288171;Blue Mountain State: The Rise of Thadland;Lev L. Spiro;2016. 02. 02;5,614;en
414597;Well;Attila Gigor;2016. 09. 22;5,665;hu
308453;The Bronze;Bryan Buckley;2016. 01. 22;6,041;en
257440;Term Life;Peter Billingsley;2016. 04. 29;6;en
390582;Here Alone;Rod Blackhurst;2016. 09. 16;5,507;en
376004;Adulterers;H.M. Coakley;2016. 01. 05;6,085;en
388191;Mythica: The Iron Crown;John Lyde;2016. 05. 14;6;en
301348;Elvis & Nixon;Liza Johnson;2016. 03. 22;6;en
291264;The Family Fang;Jason Bateman;2016. 04. 16;5,837;en
374617;Imperium;Daniel Ragussis;2016. 08. 19;6,465;en
374475;Toni Erdmann;Maren Ade;2016. 07. 14;6,974;de
300667;3 Generations;Gaby Dellal;2016. 10. 27;6,379;en
