azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
82990;Paranormal Activity 4;Henry Joost, Ariel Schulman;2012.10.17;5,407;en
81796;Lockout;Stephen St. Leger, James Mather;2012.04.12;5,937;en
58244;Upside Down;Juan Diego Solanas;2012.09.27;6,272;en
121824;Stand Up Guys;Fisher Stevens;2012.12.14;6;en
101731;The Magic of Belle Isle;Rob Reiner;2012.07.06;6,987;en
77953;The Campaign;Jay Roach;2012.08.09;5,824;en
97434;Gambit;Michael Hoffman;2012.04.25;5,477;en
74534;The Best Exotic Marigold Hotel;John Madden;2012.02.23;6,944;en
133694;Promised Land;Gus Van Sant;2012.09.23;6,287;en
93837;So Undercover;Tom Vaughan;2012.12.06;6,129;en
82525;Savages;Oliver Stone;2012.07.06;6,349;en
104859;Mac & Devin Go to High School;Dylan C. Brown;2012.07.03;6,467;en
84348;V/H/S;David Bruckner, Matt Bettinelli-Olpin, Justin Martinez, Adam Wingard, Chad Villella, Tyler Gillett, Joe Swanberg, Glenn McQuaid, Ti West;2012.07.28;6,096;en
136911;The Factory;Morgan O'Neill;2012.10.20;5,623;en
125490;Antiviral;Brandon Cronenberg;2012.09.19;6;en
121674;Great Expectations;Mike Newell;2012.11.30;6,383;en
72207;The Five-Year Engagement;Nicholas Stoller;2012.04.27;5,848;en
81025;Salmon Fishing in the Yemen;Lasse Hallström;2012.03.09;6,436;en
50647;Wanderlust;David Wain;2012.02.23;5,502;en
94348;Alex Cross;Rob Cohen;2012.10.18;5,186;en
82684;Chasing Mavericks;Michael Apted, Curtis Hanson;2012.10.25;7,014;en
103269;Superman vs. The Elite;Michael Chang;2012.06.12;7;en
70436;The Raven;James McTeigue;2012.03.09;6,288;en
97614;Deadfall;Stefan Ruzowitzky;2012.11.08;6;en
96399;Outlaws - For Greater Glory;Dean Wright;2012.06.01;6,753;en
88042;Parental Guidance;Andy Fickman;2012.12.25;6;en
49527;Man on a Ledge;Asger Leth;2012.01.13;6,427;en
139567;Fire with Fire;David Barrett;2012.08.31;5,674;en
87496;The Company You Keep;Robert Redford;2012.12.20;6,174;en
151535;Scooby-Doo! Mask of the Blue Falcon;Michael Goguen;2012.12.15;7,658;en
140420;Paperman;John Kahrs;2012.11.02;8;en
138544;American Horror House;Darin Scott;2012.10.13;6,145;en
82687;The Guilt Trip;Anne Fletcher;2012.12.19;5,597;en
84174;Bachelorette;Leslye Headland;2012.01.23;5,407;en
84199;The First Time;Jonathan Kasdan;2012.10.19;7;en
117974;Sightseers;Ben Wheatley;2012.11.30;6,274;en
111440;The Pact;Nicholas McCarthy;2012.05.25;5,661;en
141423;The Legend of Mor'du;Brian Larsen;2012.11.13;5,931;en
177221;The Battery;Jeremy Gardner;2012.10.13;6,186;en
88005;Seeking a Friend for the End of the World;Lorene Scafaria;2012.06.22;6,572;en
127651;The Seasoning House;Paul Hyett;2012.08.21;6,347;en
84332;Safety Not Guaranteed;Colin Trevorrow;2012.06.08;6,785;en
109584;Broken;Rufus Norris;2012.08.22;6,924;en
103747;The Angels' Share;Ken Loach;2012.06.01;6,952;en
109513;Hit & Run;David Palmer, Dax Shepard;2012.08.22;5,699;en
60599;Arbitrage;Nicholas Jarecki;2012.09.14;6,315;en
298016;It's a SpongeBob Christmas!;Mark Caballero, Seamus Walsh;2012.12.06;7;en
141528;Time Travel Mater;Rob Gibbs;2012.06.12;6,019;en
86597;The Tall Man;Pascal Laugier;2012.03.19;6;en
142308;Santa Paws 2: The Santa Pups;Robert Vince;2012.11.20;6;en
82696;Hope Springs;David Frankel;2012.08.07;6,257;en
128876;Tower Block;Ronnie Thompson, James Nunn;2012.09.19;5,838;en
74306;God Bless America;Bobcat Goldthwait;2012.05.11;7;en
138376;A Dark Truth;Damian Lee;2012.11.29;5,586;en
84334;Searching for Sugar Man;Malik Bendjelloul;2012.06.30;7,879;en
128241;The Rise;Rowan Athale;2012.09.09;6,693;en
135579;Dead Before Dawn;April Mullen;2012.10.10;5,329;en
119569;Marvel One-Shot: Item 47;Louis D'Esposito;2012.08.29;6,45;en
84281;Hello I Must Be Going;Todd Louiso;2012.09.07;6;en
122800;Freelancers;Jessy Terrero;2012.08.10;5;en
135647;The Details;Jacob Aaron Estes;2012.11.02;6,005;en
103173;Dragon Age: Dawn of the Seeker;Fumihiko Sori;2012.02.11;5,543;en
80038;Friends with Kids;Jennifer Westfeldt;2012.03.09;6;en
81446;The Baytown Outlaws;Barry Battles;2012.08.27;5,963;en
143800;Aftermath;Władysław Pasikowski;2012.11.09;6,565;pl
105526;Any Day Now;Travis Fine;2012.12.14;7;en
80304;Casa de Mi Padre;Matt Piedmont;2012.03.15;5,368;en
79697;Butter;Jim Field Smith;2012.10.05;5,871;en
127962;Leviathan;Lucien Castaing-Taylor, Véréna Paravel;2012.08.09;6,606;en
89325;Darling Companion;Lawrence Kasdan;2012.04.20;5;en
100183;Outpost: Black Sun;Steve Barker;2012.04.25;5;en
83384;Dark Horse;Todd Solondz;2012.06.08;5,678;en
124071;How to Make Money Selling Drugs;Matthew Cooke;2012.09.07;7,061;en
89691;ATM;David Brooks;2012.02.17;5;en
120605;The Punisher: Dirty Laundry;Phil Joanou;2012.07.16;7,064;en
97512;The Courier;Hany Abu-Assad;2012.03.29;5;en
72334;Chimpanzee;Alastair Fothergill, Mark Linfield;2012.04.20;7;en
82532;Jeff, Who Lives at Home;Mark Duplass, Jay Duplass;2012.03.16;6,212;en
140208;Bad Boy Street;Todd Verow;2012.10.22;5,534;en
78047;Treasure Buddies;Robert Vince;2012.01.31;6,093;en
101519;A Fantastic Fear of Everything;Crispian Mills;2012.06.07;5,677;en
138222;Best Man Down;Ted Koland;2012.10.20;6,646;en
157449;She Made Them Do It;Grant Harvey;2012.12.28;6,014;en
110112;Nitro Circus: The Movie;Gregg Godfrey, Jeremy Rawle;2012.08.08;6,372;en
127370;Song for Marion;Paul Andrew Williams;2012.09.15;6,851;en
84305;Lay the Favorite;Stephen Frears;2012.06.22;5,254;en
79465;Loosies;Michael Corrente;2012.02.01;5,748;en
109843;Ill Manors;Plan B;2012.06.06;6,335;en
102630;Stash House;Eduardo Rodríguez;2012.05.11;5,013;en
141679;Spike Island;Mat Whitecross;2012.10.11;6,466;en
60270;Wish You Were Here;Kieran Darcy-Smith;2012.04.26;5,47;en
60540;Sushi Girl;Kern Saxton;2012.12.07;5,482;en
100493;The Devil's Carnival;Darren Lynn Bousman;2012.04.05;5,506;en
94352;Cirque du Soleil: Worlds Away;Andrew Adamson;2012.11.09;7;en
50497;When the Lights Went Out;Pat Holden;2012.01.31;5,754;en
130593;Good Vibrations;Lisa Barros D'Sa, Glenn Leyburn;2012.05.31;6,743;en
84333;Save the Date;Michael Mohan;2012.12.14;5,733;en
90125;Marley;Kevin Macdonald;2012.04.20;7,565;en
100529;Lola Versus;Daryl Wein;2012.04.24;5;en
128564;Attack of the 50 Foot Cheerleader;Kevin O'Neill;2012.08.25;5,552;en
51996;Thin Ice;Jill Sprecher;2012.02.17;6,57;en
83564;La luna;Enrico Casarosa;2012.02.10;7,823;en
104593;Blue-Eyed Butcher;Stephen Kay;2012.03.03;5,926;en
127884;Come Out and Play;Makinov;2012.10.09;5;en
130747;The Guardians;Til Schweiger;2012.09.18;6;de
135921;Everything or Nothing;Stevan Riley;2012.10.05;7,127;en
115276;Pusher;Luis Prieto;2012.10.12;5,327;en
94562;Turkish for Beginners;Bora Dağtekin;2012.03.14;6,185;de
123587;Qwerty;Bill Sebastian;2012.07.28;6,408;en
129357;Yoko;Franziska Buch;2012.02.15;7;de
95667;Night of the Living Dead: Re-Animation;Jeff Broadstreet;2012.10.16;6,255;en
221488;8 Minutes Idle;Mark Simon Hewis;2012.03.29;5,083;en
124067;The Central Park Five;Sarah Burns, Ken Burns, David McMahon;2012.05.24;6,973;en
111349;One Direction: Up All Night - The Live Tour;Andy Saunders;2012.05.16;7,993;en
1053745;Ben 10: Road Trip Rumble;;2012.03.12;6;en
106717;The Last Will and Testament of Rosalind Leigh;Rodrigo Gudiño;2012.11.09;5;en
185025;The Snowman and The Snowdog;Hilary Audus;2012.12.24;6,827;en
90118;A Little Bit Zombie;Casey Walker;2012.02.03;5,118;en
126797;Mental;P.J. Hogan;2012.10.04;5,506;en
84169;Ai Weiwei: Never Sorry;Alison Klayman;2012.06.14;7,013;en
135670;Amber Alert;Kerry Bellessa;2012.11.02;5;en
168027;Freaky Deaky;Charles Matthau;2012.04.22;5;en
100275;Eddie: The Sleepwalking Cannibal;Boris Rodriguez;2012.04.22;5,957;en
86412;The Fantastic Flying Books of Mr. Morris Lessmore;William Joyce, Brandon Oldenburg;2012.02.10;7,475;en
189215;The Untold History Of The United States;Oliver Stone;2012.11.12;8,168;en
149490;All About Christmas Eve;Peter Sullivan;2012.12.09;5;en
128311;Under the Bed;Steven C. Miller;2012.07.19;5;en
150670;A Christmas Wedding Date;Fred Olen Ray;2012.12.02;5,233;en
165567;Static;Todd Levin;2012.10.31;5,167;en
116835;Pink Floyd: The Story of Wish You Were Here;John Edginton;2012.06.26;7,323;en
129374;Loom;Luke Scott;2012.08.30;5,538;en
125504;A Christmas Story 2;Brian Levant;2012.09.06;5,085;en
158150;How to Fall in Love;Mark Griffiths;2012.07.21;6;en
137566;Between Us;Dan Mirvish;2012.09.13;5,367;en
341043;Adventures Into the Woods: A Sexy Musical;Rolfe Kanefsky;2012.06.02;6,045;en
86705;John Mulaney: New in Town;Ryan Polito, Jake Szymanski;2012.01.31;8;en
88920;Love Never Dies;Brett Sullivan;2012.02.08;7;en
135990;Shell;Scott Graham;2012.11.26;6,219;en
99223;FDR: American Badass!;Garrett Brawith;2012.09.24;5,235;en
157289;Curfew;Shawn Christensen;2012.03.28;7,298;en
151693;Morgan;Michael D. Akers;2012.01.07;6;en
148686;The Penguin King;Anthony Geffen;2012.10.23;7;en
117120;The Facility;Ian Clark;2012.06.23;5;en
106646;The Wolf of Wall Street;Martin Scorsese;2013.12.25;8,031;en
109418;Grown Ups 2;Dennis Dugan;2013.07.11;6,138;en
68726;Pacific Rim;Guillermo del Toro;2013.07.11;6,908;en
57158;The Hobbit: The Desolation of Smaug;Peter Jackson;2013.12.11;7,571;en
101299;The Hunger Games: Catching Fire;Francis Lawrence;2013.11.15;7,426;en
62211;Monsters University;Dan Scanlon;2013.06.19;7,039;en
109439;The Hangover Part III;Todd Phillips;2013.05.23;6,211;en
152601;Her;Spike Jonze;2013.12.18;7,851;en
72559;G.I. Joe: Retaliation;Jon M. Chu;2013.03.27;5,63;en
158015;The Purge;James DeMonaco;2013.05.31;6,252;en
117263;Olympus Has Fallen;Antoine Fuqua;2013.03.20;6,404;en
193756;Lone Survivor;Peter Berg;2013.12.24;7,441;en
76617;Texas Chainsaw 3D;John Luessenhop;2013.01.03;5,472;en
134374;Pain & Gain;Michael Bay;2013.04.18;6,274;en
117251;White House Down;Roland Emmerich;2013.06.27;6,468;en
109451;Cloudy with a Chance of Meatballs 2;Cody Cameron, Kris Pearn;2013.09.26;6,43;en
123553;The Mortal Instruments: City of Bones;Harald Zwart;2013.08.21;6,441;en
75612;Oblivion;Joseph Kosinski;2013.04.10;6,651;en
227859;The Book of Daniel;Anna Zielinski;2013.10.01;7;en
81005;Jack the Giant Slayer;Bryan Singer;2013.02.27;5,846;en
68728;Oz the Great and Powerful;Sam Raimi;2013.03.07;5,924;en
76203;12 Years a Slave;Steve McQueen;2013.10.18;7,936;en
133805;Carrie;Kimberly Peirce;2013.10.16;6;en
109424;Captain Phillips;Paul Greengrass;2013.10.10;7,542;en
91586;Insidious: Chapter 2;James Wan;2013.09.12;6,668;en
47964;A Good Day to Die Hard;John Moore;2013.02.06;5,328;en
49047;Gravity;Alfonso Cuarón;2013.10.03;7,164;en
138697;Don Jon;Joseph Gordon-Levitt;2013.09.12;6,013;en
136400;2 Guns;Baltasar Kormákur;2013.08.02;6,539;en
146216;RED 2;Dean Parisot;2013.07.18;6,524;en
152532;Dallas Buyers Club;Jean-Marc Vallée;2013.11.01;7,924;en
151960;Planes;Klay Hall;2013.08.09;5,896;en
168672;American Hustle;David O. Russell;2013.12.03;6,852;en
77951;Walking with Dinosaurs;Neil Nightingale, Barry Cook;2013.12.18;6,152;en
178809;The Colony;Jeff Renfroe;2013.04.12;5,445;en
109491;Beautiful Creatures;Richard LaGravenese;2013.02.13;6,033;en
59859;Kick-Ass 2;Jeff Wadlow;2013.07.17;6,401;en
82654;Warm Bodies;Jonathan Levine;2013.01.31;6,464;en
64686;47 Ronin;Carl Rinsch;2013.12.06;6,188;en
130150;Labor Day;Jason Reitman;2013.12.27;7;en
109421;Side Effects;Steven Soderbergh;2013.02.07;6,603;en
175574;Free Birds;Jimmy Hayward;2013.10.30;5,876;en
157841;The Young and Prodigious T.S. Spivet;Jean-Pierre Jeunet;2013.10.16;6,841;en
192911;Monster High: Scaris City of Frights;Andrew Duncan, Steve Ball;2013.03.03;7,859;en
142061;Batman: The Dark Knight Returns, Part 2;Jay Oliva;2013.01.03;7,922;en
183011;Justice League: The Flashpoint Paradox;Jay Oliva;2013.07.30;7,883;en
103731;Mud;Jeff Nichols;2013.04.26;7,055;en
132344;Before Midnight;Richard Linklater;2013.04.05;7,508;en
97367;The Place Beyond the Pines;Derek Cianfrance;2013.03.20;6,971;en
175774;Ruby Red;Felix Fuchssteiner;2013.03.14;7;de
97051;Would You Rather;David Guy Levy;2013.02.08;6;en
76285;Percy Jackson: Sea of Monsters;Thor Freudenthal;2013.08.07;6,027;en
159117;V/H/S/2;Eduardo Sánchez, Timo Tjahjanto, Gareth Evans, Gregg Hale, Simon Barrett, Jason Eisener, Adam Wingard;2013.06.06;6,211;en
164457;Out of the Furnace;Scott Cooper;2013.11.09;6,565;en
140823;Saving Mr. Banks;John Lee Hancock;2013.11.29;7,347;en
109431;Identity Thief;Seth Gordon;2013.02.07;5,853;en
172391;Khumba;Anthony Silverston;2013.07.18;6;en
202575;The House of Magic;Ben Stassen, Jérémie Degruson;2013.12.24;6,321;en
77805;Lovelace;Rob Epstein, Jeffrey Friedman;2013.08.08;6;en
82682;Gangster Squad;Ruben Fleischer;2013.01.09;6,367;en
137093;Last Vegas;Jon Turteltaub;2013.10.31;6,405;en
152747;All Is Lost;J.C. Chandor;2013.08.23;6,639;en
123109;No One Lives;Ryûhei Kitamura;2013.03.09;6;en
174772;Europa Report;Sebastián Cordero;2013.06.27;6,272;en
129139;The To Do List;Maggie Carey;2013.07.24;5,781;en
203696;Scooby-Doo! Stage Fright;Victor Cook;2013.08.10;7,597;en
146381;Justin and the Knights of Valour;Manuel Sicilia;2013.08.09;5,93;en
230896;Iron Man & Hulk: Heroes United;Leo Riley, Eric Radomski;2013.12.03;5,634;en
160588;Blue Jasmine;Woody Allen;2013.08.01;6,988;en
208134;Jackass Presents: Bad Grandpa;Jeff Tremaine;2013.10.22;6,114;en
129670;Nebraska;Alexander Payne;2013.09.21;7,442;en
209247;The Art of the Steal;Jonathan Sobol;2013.09.20;6,164;en
205724;Welcome to the Jungle;Rob Meltzer;2013.04.27;5,018;en
156700;The Kings of Summer;Jordan Vogt-Roberts;2013.01.19;7,002;en
169219;The Dyatlov Pass Incident;Renny Harlin;2013.02.27;5,909;en
86829;Inside Llewyn Davis;Joel Coen, Ethan Coen;2013.10.18;7,194;en
212716;What If;Michael Dowse;2013.09.07;6,737;en
227707;The Adventurer: The Curse of the Midas Box;Jonathan Newman;2013.12.05;5,634;en
268092;Transformers Prime: Beast Hunters - Predacons Rising;Vinton Heuck, Todd Waterman, Scooter Tidwell;2013.10.04;8;en
119675;Behind the Candelabra;Steven Soderbergh;2013.05.26;6,625;en
87567;The Big Wedding;Justin Zackham;2013.04.25;5,859;en
132363;The Butler;Lee Daniels;2013.08.16;7,33;en
183662;Crush;Malik Bader;2013.03.13;6;en
159128;We Are What We Are;Jim Mickle;2013.09.27;5,747;en
162903;The Fifth Estate;Bill Condon;2013.10.11;6;en
121677;The Reluctant Fundamentalist;Mira Nair;2013.04.24;6,591;en
96936;The Bling Ring;Sofia Coppola;2013.06.12;5,423;en
205601;Belle;Amma Asante;2013.05.01;7,138;en
191820;The Devil's Violinist;Bernard Rose;2013.01.30;6,617;en
127517;Disconnect;Henry Alex Rubin;2013.04.12;7;en
244610;The Den;Zachary Donohue;2013.12.12;6;en
174675;The Machine;Caradog W. James;2013.04.25;5,919;en
157834;The Zero Theorem;Terry Gilliam;2013.09.20;6,105;en
233063;Suck Me Shakespeer;Bora Dağtekin;2013.11.07;7,009;de
166879;One Small Hitch;John Burgess;2013.02.14;6,683;en
157354;Fruitvale Station;Ryan Coogler;2013.07.26;7,365;en
211067;The Sacrament;Ti West;2013.09.02;5,962;en
215830;Open Grave;Gonzalo López-Gallego;2013.08.13;6;en
199591;Penthouse North;Joseph Ruben;2013.04.17;5,71;en
207883;I'm in Love with a Church Girl;Steve Race;2013.10.18;6;en
166076;Superman: Unbound;James Tucker;2013.04.23;6,609;en
190955;Blood Ties;Guillaume Canet;2013.08.22;6,107;en
192134;Dom Hemingway;Richard Shepard;2013.11.14;5,845;en
210769;Scooby-Doo! Adventures: The Mystery Map;David Rudman;2013.07.21;8,262;en
195269;12 Rounds 2: Reloaded;Roel Reiné;2013.06.01;5,516;en
168676;Company of Heroes;Don Michael Paul;2013.02.25;5,164;en
199753;Tom and Jerry's Giant Adventure;Spike Brandt, Tony Cervone;2013.08.04;5,818;en
157360;In a World...;Lake Bell;2013.08.09;6,338;en
159932;A Single Shot;David M. Rosenthal;2013.09.19;5,687;en
201749;Mr. Morgan's Last Love;Sandra Nettelbeck;2013.08.22;6,66;en
198287;After the Dark;John Huddles;2013.07.06;6,093;en
159092;Hell Baby;Robert Ben Garant, Thomas Lennon;2013.09.06;5,141;en
165864;Hansel and Gretel Get Baked;Duane Journey;2013.02.19;5,152;en
85889;Filth;Jon S. Baird;2013.09.23;6,865;en
157375;The Lifeguard;Liz W. Garcia;2013.08.30;5,458;en
77234;The Numbers Station;Kasper Barfoed;2013.04.18;5,516;en
234567;Get a Horse!;Lauren MacMullan;2013.11.27;7,612;en
269437;Pixie Hollow Bake Off;Elliot M. Bour;2013.10.20;7;en
68727;Trance;Danny Boyle;2013.03.27;6,619;en
159211;The Haunting of Helena;Ascanio Malgarini, Christian Bisceglia;2013.01.14;5,574;en
217316;1;Paul Crowder;2013.09.30;6,587;en
246569;Jinxed;Stephen Herek;2013.11.29;6,66;en
175528;Baggage Claim;David E. Talbert;2013.09.27;5,328;en
255692;Ice Soldiers;Sturla Gunnarsson;2013.12.06;5,097;en
141733;Cottage Country;Peter Wellington;2013.03.13;5,373;en
151933;Dead in Tombstone;Roel Reiné;2013.10.01;5;en
140222;Love and Honor;Danny Mooney;2013.03.22;6,046;en
211387;Marvel One-Shot: Agent Carter;Louis D'Esposito;2013.10.04;7,253;en
209403;Bad Words;Jason Bateman;2013.09.06;6,385;en
111479;CBGB;Randall Miller;2013.10.11;6,403;en
238589;Enemies Closer;Peter Hyams;2013.12.04;5,304;en
158739;Blue Caprice;Alexandre Moors;2013.09.12;5,779;en
114779;It's a Disaster;Todd Berger;2013.04.12;6,307;en
229408;Training Wheels;Eric Favela, Régis Schuller;2013.12.10;7,027;en
209263;Enough Said;Nicole Holofcener;2013.09.18;6,72;en
193613;Metallica: Through the Never;Nimród Antal;2013.09.25;6,822;en
207769;Banshee Chapter;Blair Erickson;2013.11.06;5,519;en
156711;Austenland;Jerusha Hess;2013.08.15;6,387;en
175291;Cheap Thrills;E.L. Katz;2013.03.08;6,391;en
242575;Good Day, Ramon;Jorge Ramírez Suárez;2013.10.21;7,882;en
206284;Grace Unplugged;Brad J. Silverman;2013.10.04;6;en
209274;Ida;Paweł Pawlikowski;2013.10.25;7,233;pl
201066;Goodbye World;Denis Hennelly;2013.06.15;5,389;en
136850;Breaking the Girls;Jamie Babbit;2013.07.26;5,53;en
74461;Knights of Badassdom;Joe Lynch;2013.01.21;5,598;en
266775;Sofia the First: The Floating Palace;Jamie Mitchell, Larry Leichliter;2013.11.24;7,099;en
157115;Jug Face;Chad Crawford Kinkle;2013.08.09;5,186;en
203321;Not Another Happy Ending;John McKay;2013.10.11;5,92;en
273404;I'll Follow You Down;Richie Mehta;2013.07.28;6;en
192133;Jimi: All Is by My Side;John Ridley;2013.09.07;5,639;en
225747;Vendetta;Stephen Reynolds;2013.11.08;5,953;en
226437;Life Feels Good;Maciej Pieprzyca;2013.10.11;7,305;pl
75761;John Dies at the End;Don Coscarelli;2013.01.25;6,311;en
170759;Kokowääh 2;Til Schweiger, Torsten Künstler;2013.01.27;6;de
180679;Sexy Evil Genius;Shawn Piller;2013.04.09;6;en
220286;Grand Piano;Eugenio Mira;2013.10.11;6;en
215881;Plush;Catherine Hardwicke;2013.09.13;5,548;en
202141;Particle Fever;Mark Levinson;2013.06.14;7,042;en
113148;Prince Avalanche;David Gordon Green;2013.02.13;6,138;en
160768;Jimmy P.;Arnaud Desplechin;2013.09.11;6,106;en
179111;A Field in England;Ben Wheatley;2013.07.05;6,227;en
152756;Paradise;Diablo Cody;2013.10.18;5;en
226948;Scarecrow;Sheldon Wilson;2013.10.05;5;en
82992;Fast & Furious 6;Justin Lin;2013.05.21;6,818;en
174343;Trust Me;Clark Gregg;2013.04.20;5,773;en
182972;Cargo;Yolanda Ramke, Ben Howling;2013.04.02;6,996;en
229407;Puppy;Bruno Dequier, Yarrow Cheney;2013.12.10;7,207;en
242033;Scorned;Mark Jones;2013.11.14;5;en
216539;Ghost Shark;Griff Furst;2013.08.22;5;en
72525;Syrup;Aram Rappaport;2013.06.07;5,497;en
177203;The Challenger Disaster;James Hawes;2013.03.18;7,211;en
229405;Panic in the Mailroom;Fabrice Joubert, Mark O'Hare;2013.12.10;6,734;en
174326;A Birder's Guide to Everything;Rob Meyer;2013.04.21;6;en
194101;The Selfish Giant;Clio Barnard;2013.10.25;7,272;en
318868;Out of Reach;George Erschbamer;2013.07.01;9;en
158914;The Look of Love;Michael Winterbottom;2013.04.26;5,571;en
237614;Autumn Blood;Markus Blunder;2013.09.10;5;en
159937;An Amish Murder;Stephen Gyllenhaal;2013.01.06;5,904;en
238749;A Very Merry Mix-Up;Jonathan Wright;2013.11.10;6;en
977756;Fiendish Funnies;Rob Jabbaz;2013.01.01;7;en
231401;The Sound of Music Live!;Beth McCarthy-Miller, Rob Ashford;2013.12.05;6,265;en
157117;Sound City;Dave Grohl;2013.01.18;7,34;en
159622;Terms and Conditions May Apply;Cullen Hoback;2013.07.12;6,949;en
270698;I'm a Porn Star;Charlie David;2013.08.17;6;en
236028;Castello Cavalcanti;Wes Anderson;2013.11.12;7,011;en
228676;Mischief Night;Richard Schenkman;2013.10.30;5;en
158990;Wrong Cops;Quentin Dupieux;2013.12.18;6,126;en
159770;The Dirties;Matt Johnson;2013.10.04;6,333;en
256051;Curious George: A Halloween Boo Fest;Andrei Svislotski, Jeff McGrath, Scott Heming;2013.09.01;7;en
179267;Jay and Silent Bob's Super Groovy Cartoon Movie;Steve Stark;2013.04.20;5,099;en
221110;Kathleen Madigan: Madigan Again;Jay Chapman;2013.09.11;7,594;en
198062;Coffee Town;Brad Copeland;2013.07.09;6,515;en
94671;Jayne Mansfield's Car;Billy Bob Thornton;2013.07.25;5,807;en
76170;The Wolverine;James Mangold;2013.07.21;6,419;en
173301;Good Ol' Freda;Ryan White;2013.09.06;7,098;en
198228;Eastwood Directs: The Untold Story;Richard Schickel;2013.04.27;5,975;en
212063;Tim's Vermeer;Teller;2013.12.06;7,242;en
174372;Floating Skyscrapers;Tomasz Wasilewski;2013.11.22;6;pl
160165;In the Name of...;Małgorzata Szumowska;2013.09.06;7;pl
173210;Downloaded;Alex Winter;2013.06.20;6,45;en
249062;Christmas on the Bayou;Leslie Hope;2013.12.14;6;en
227094;The Returned;Manuel Carballo;2013.11.15;6,045;en
174645;Java Heat;Conor Allyn;2013.03.06;5,329;en
212721;Gerontophilia;Bruce LaBruce;2013.08.28;6,024;en
249941;Whispers Behind the Wall;Grzegorz Muskala;2013.09.15;5,167;de
195507;Siren;Jesse Peyronel;2013.10.26;6;en
185574;Louis C.K.: Oh My God;Louis C.K.;2013.04.13;7,588;en
178603;Detour;William Dickerson;2013.03.29;5,524;en
171910;I Am Divine;Jeffrey Schwarz;2013.03.09;7,371;en
120802;Noobz;Blake Freeman;2013.01.25;6;en
214464;The Dead 2: India;Howard J. Ford, Jonathan Ford;2013.08.22;5,205;en
158743;Computer Chess;Andrew Bujalski;2013.07.17;6,048;en
137563;A Band Called Death;Jeff Howlett, Mark Christopher Covino;2013.06.27;7,163;en
159004;Dirty Wars;Rick Rowley;2013.01.18;7;en
161321;The Power of Few;Leone Marucci;2013.02.15;5,297;en
194121;Dark Circles;Paul Soter;2013.05.21;5;en
167179;The Traffic Department;Wojciech Smarzowski;2013.01.31;6,646;pl
242409;The Thirteenth Tale;James Kent;2013.12.30;6,531;en
227262;Frau Ella;Markus Goller;2013.10.17;6,397;de
221791;Garage Sale Mystery;Peter DeLuise;2013.09.14;6;en
214096;Lucky Them;Megan Griffiths;2013.09.06;6;en
198663;The Maze Runner;Wes Ball;2014.09.10;7,188;en
122917;The Hobbit: The Battle of the Five Armies;Peter Jackson;2014.12.10;7,325;en
131631;The Hunger Games: Mockingjay - Part 1;Francis Lawrence;2014.11.19;6,813;en
210577;Gone Girl;David Fincher;2014.10.01;7,89;en
137113;Edge of Tomorrow;Doug Liman;2014.05.27;7,627;en
157350;Divergent;Neil Burger;2014.03.14;6,914;en
205596;The Imitation Game;Morten Tyldum;2014.11.14;7,996;en
240832;Lucy;Luc Besson;2014.07.25;6,457;en
190859;American Sniper;Clint Eastwood;2014.12.25;7,423;en
127585;X-Men: Days of Future Past;Bryan Singer;2014.05.15;7,529;en
119450;Dawn of the Planet of the Apes;Matt Reeves;2014.07.08;7,33;en
245891;John Wick;Chad Stahelski;2014.10.22;7,442;en
124905;Godzilla;Gareth Edwards;2014.05.14;6,342;en
120467;The Grand Budapest Hotel;Wes Anderson;2014.02.26;8,042;en
175112;Tinker Bell and the Pirate Fairy;Peggy Holmes;2014.02.13;6,928;en
222935;The Fault in Our Stars;Josh Boone;2014.05.16;7,598;en
181533;Night at the Museum: Secret of the Tomb;Shawn Levy;2014.12.17;6,217;en
53182;300: Rise of an Empire;Noam Murro;2014.03.05;6,113;en
238636;The Purge: Anarchy;James DeMonaco;2014.07.17;6,634;en
189;Sin City: A Dame to Kill For;Frank Miller, Robert Rodriguez;2014.08.20;6,39;en
228967;The Interview;Seth Rogen, Evan Goldberg;2014.12.25;6,185;en
136797;Need for Speed;Scott Waugh;2014.03.12;6,418;en
193893;Let's Be Cops;Luke Greenfield;2014.08.13;6,463;en
256274;As Above, So Below;John Erick Dowdle;2014.08.14;6,712;en
188161;A Million Ways to Die in the West;Seth MacFarlane;2014.05.22;6,047;en
137094;Jack Ryan: Shadow Recruit;Kenneth Branagh;2014.01.15;6,111;en
254904;The November Man;Roger Donaldson;2014.08.27;6,106;en
227159;Horrible Bosses 2;Sean Anders;2014.11.12;6,181;en
154400;The Drop;Michaël R. Roskam;2014.09.12;6,787;en
266856;The Theory of Everything;James Marsh;2014.11.26;7,846;en
82703;Mr. Peabody & Sherman;Rob Minkoff;2014.02.07;6,71;en
169917;A Walk Among the Tombstones;Scott Frank;2014.09.18;6,327;en
181886;Enemy;Denis Villeneuve;2014.03.14;6,863;en
289720;Outcast;Nick Powell;2014.09.26;5,105;en
487186;Halo: Nightfall;Sergio Mimica-Gezzan;2014.02.05;6,799;en
259018;Behaving Badly;Tim Garrick;2014.04.14;5,297;en
97020;RoboCop;José Padilha;2014.01.30;5,874;en
157353;Transcendence;Wally Pfister;2014.04.16;6,041;en
227156;The Giver;Phillip Noyce;2014.08.13;6,554;en
