azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
46812;Lost Boys: The Thirst;Dario Piana;2010.05.12;5;en
45094;Conviction;Tony Goldwyn;2010.10.15;7,058;en
29564;Smokin' Aces 2: Assassins' Ball;P.J. Pesce;2010.01.19;5,343;en
33107;And Soon the Darkness;Marcos Efron;2010.02.25;5,212;en
46829;Barney's Version;Richard J. Lewis;2010.10.26;7,029;en
45324;Casino Jack;George Hickenlooper;2010.09.16;5,836;en
54559;Orientation Day;Samuel Tourneux, Kyle Balda;2010.12.13;6,888;en
62728;Brighton Rock;Rowan Joffe;2010.09.13;5,659;en
41345;Shank;Mo Ali;2010.08.21;5;en
55061;Frankie & Alice;Geoffrey Sax;2010.12.10;6;en
44027;My Son, My Son, What Have Ye Done;Werner Herzog;2010.07.08;6;en
44992;Hubble;Toni Myers;2010.03.19;7;en
41135;Operation: Endgame;Fouad Mikati;2010.07.20;5;en
38448;Ondine;Neil Jordan;2010.03.05;6,325;en
12645;Inhale;Baltasar Kormákur;2010.08.27;6;en
42296;Catfish;Henry Joost, Ariel Schulman;2010.09.17;6,834;en
354870;Monster: The Josef Fritzl Story;David Notman-Watt;2010.08.16;5;en
43943;Jack Goes Boating;Philip Seymour Hoffman;2010.09.17;6;en
42189;Kevin Hart: Seriously Funny;Shannon Hartman;2010.07.20;7,027;en
38150;Heartless;Philip Ridley;2010.05.21;5,863;en
42950;What if...;Dallas Jenkins;2010.08.20;7;en
44946;Knucklehead;Michael W. Watkins;2010.10.22;5,656;en
44877;4.3.2.1;Noel Clarke, Mark Davis;2010.06.02;5,52;en
34563;Our Family Wedding;Rick Famuyiwa;2010.03.12;5,702;en
43642;Abandoned;Michael Feifer;2010.08.24;5;en
48946;Chatroom;Hideo Nakata;2010.08.11;5,852;en
40619;Day & Night;Teddy Newton;2010.06.17;7,704;en
70076;Lying to Be Perfect;Gary Harvey;2010.06.07;6;en
57749;The Clinic;James Rabbitts;2010.10.10;5,134;en
46198;My Girlfriend's Boyfriend;Daryn Tufts;2010.04.22;5,73;en
46934;Mr. Nice;Bernard Rose;2010.10.07;6,119;en
52338;Waiting for Forever;James Keach;2010.02.10;5,956;en
41988;DC Showcase: Jonah Hex;Joaquim Dos Santos;2010.07.27;7;en
39440;"Waiting for ""Superman""";Davis Guggenheim;2010.09.24;6,932;en
43727;Jolene;Dan Ireland;2010.10.29;6,173;en
37659;When You're Strange;Tom DiCillo;2010.04.09;7,337;en
40247;Please Give;Nicole Holofcener;2010.04.30;6,185;en
56929;Elle: A Modern Cinderella Tale;John Dunson, Sean Dunson;2010.04.26;5;en
41120;Rush: Beyond The Lighted Stage;Sam Dunn, Scot McFadyen;2010.06.29;7,475;en
57436;The Erotic Man;Jørgen Leth;2010.09.26;5;en
45792;Amish Grace;Gregg Champion;2010.03.28;7,056;en
46636;Nanga Parbat;Joseph Vilsmaier;2010.01.14;6,652;de
44862;Once Fallen;Ash Adams;2010.11.02;5;en
37058;I'm Here;Spike Jonze;2010.03.01;7,275;en
145132;A Heartland Christmas;Dean Bennett;2010.12.10;7,971;en
278698;Avatar Spirits;Kurt Mattila;2010.06.22;8;en
49901;Rammbock: Berlin Undead;Marvin Kren;2010.09.09;6;de
50056;Secret Origin: The Story of DC Comics;Mac Carter;2010.11.09;7;en
41360;Hunter Prey;Sandy Collora;2010.05.01;5,691;en
43609;My Own Love Song;Olivier Dahan;2010.04.07;6,254;en
51462;Brotherhood;Will Canon;2010.03.13;5,866;en
37234;Sex & Drugs & Rock & Roll;Mat Whitecross;2010.01.08;6,34;en
139406;Radio Free Albemuth;John Alan Simon;2010.02.25;5,481;en
42918;Winnebago Man;Ben Steinbauer;2010.07.09;6,612;en
42151;Down Terrace;Ben Wheatley;2010.07.30;6,184;en
46967;Bill Burr: Let It Go;Shannon Hartman;2010.09.18;7,65;en
76706;Christmas Mail;John Murlowski;2010.12.04;5,242;en
65056;A Little Help;Michael J. Weithorn;2010.05.21;5,347;en
47912;Smash His Camera;Leon Gast;2010.07.30;7;en
44966;The Freebie;Katie Aselton;2010.09.17;5;en
45104;The Wronged Man;Tom McLoughlin;2010.10.07;6;en
39806;Princess Kaiulani;Marc Forby;2010.05.14;5,738;en
40690;Classic Albums: Black Sabbath - Paranoid;Matthew Longfellow;2010.06.28;7;en
